model,class,f1_mean,f1_sd,support
InceptionV3 plain multi-output,Strawberry___healthy,0.9813864429020338,0.010714965811224714,100.0
InceptionV3 plain multi-output,Tomato___Bacterial_spot,0.6738460188027048,0.043163952905892373,213.0
InceptionV3 plain multi-output,Tomato___Early_blight,0.582900146280428,0.03311383694045408,100.0
InceptionV3 plain multi-output,Tomato___Late_blight,0.8023258165638589,0.05472230649601366,191.0
InceptionV3 plain multi-output,Tomato___Leaf_Mold,0.7244058925330293,0.11441693729692058,100.0
InceptionV3 plain multi-output,Tomato___Septoria_leaf_spot,0.6088111754557628,0.18402587357015623,178.0
InceptionV3 plain multi-output,Tomato___Spider_mites Two-spotted_spider_mite,0.33099672157891874,0.18938706682214837,168.0
InceptionV3 plain multi-output,Tomato___Target_Spot,0.49304190556773714,0.13498382383747867,140.0
InceptionV3 plain multi-output,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.7806633505912076,0.1063911153000997,535.0
InceptionV3 plain multi-output,Tomato___Tomato_mosaic_virus,0.5379899181250376,0.11253730864488427,100.0
InceptionV3 plain multi-output,Tomato___healthy,0.8177710856835366,0.04191607537413635,159.0
PlantXViT-style reproduction,Apple___Apple_scab,0.9849238578680203,0.00500173898487189,100.0
PlantXViT-style reproduction,Apple___Black_rot,0.9850578789222206,0.005049525781227524,100.0
PlantXViT-style reproduction,Apple___Cedar_apple_rust,0.9983249581239532,0.002901257634118735,100.0
PlantXViT-style reproduction,Apple___healthy,0.976727671206041,0.01406549578004078,165.0
PlantXViT-style reproduction,Blueberry___healthy,0.982541015392183,0.007374370846066792,150.0
PlantXViT-style reproduction,Cherry___Powdery_mildew,0.9827702150265353,0.00966048193123568,105.0
PlantXViT-style reproduction,Cherry___healthy,0.9799786897728082,0.0051650936421171675,100.0
PlantXViT-style reproduction,Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9667815127721427,0.007556753725040555,100.0
PlantXViT-style reproduction,Corn___Common_rust,0.9915133523331016,0.004273286869530377,119.0
PlantXViT-style reproduction,Corn___Northern_Leaf_Blight,0.9587962239005513,0.005858079620867941,100.0
PlantXViT-style reproduction,Corn___healthy,0.9985569985569986,0.002499351814673692,116.0
PlantXViT-style reproduction,Grape___Black_rot,0.9829893641321016,0.004350220839553942,118.0
PlantXViT-style reproduction,Grape___Esca_(Black_Measles),0.9939830900936134,0.0020845143101949916,138.0
PlantXViT-style reproduction,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9906686271848776,0.0046293431932774185,107.0
PlantXViT-style reproduction,Grape___healthy,0.9820155601938688,0.012152909119644497,100.0
PlantXViT-style reproduction,Orange___Haunglongbing_(Citrus_greening),0.993612233484845,0.0027606184500238,551.0
PlantXViT-style reproduction,Peach___Bacterial_spot,0.9876731430113042,0.005063975596161502,230.0
PlantXViT-style reproduction,Peach___healthy,0.9901637222545784,0.00980408174641201,100.0
PlantXViT-style reproduction,"Pepper,_bell___Bacterial_spot",0.9803264047418799,0.008378440767349064,100.0
PlantXViT-style reproduction,"Pepper,_bell___healthy",0.9359533251971005,0.04034972452675589,148.0
PlantXViT-style reproduction,Potato___Early_blight,0.9949915414552031,2.8868235165370035e-05,100.0
PlantXViT-style reproduction,Potato___Late_blight,0.9799959587795515,0.00034997995707593705,100.0
PlantXViT-style reproduction,Potato___healthy,0.9708998046779621,0.012349497020386523,100.0
PlantXViT-style reproduction,Raspberry___healthy,0.9782737826021407,0.010511532779065297,100.0
PlantXViT-style reproduction,Soybean___healthy,0.9731040881446806,0.01047590749383543,509.0
PlantXViT-style reproduction,Squash___Powdery_mildew,0.9963817076862865,0.004138031865328263,184.0
PlantXViT-style reproduction,Strawberry___Leaf_scorch,0.9984917043740573,0.0026124446569666233,111.0
PlantXViT-style reproduction,Strawberry___healthy,0.9900821834995792,0.004902117074041239,100.0
PlantXViT-style reproduction,Tomato___Bacterial_spot,0.9727439153097731,0.007489977347807735,213.0
PlantXViT-style reproduction,Tomato___Early_blight,0.9460173674280709,0.013793590952396,100.0
PlantXViT-style reproduction,Tomato___Late_blight,0.9704755035414802,0.00892657775401365,191.0
PlantXViT-style reproduction,Tomato___Leaf_Mold,0.9785391597023095,0.01157445580464949,100.0
PlantXViT-style reproduction,Tomato___Septoria_leaf_spot,0.977088013760938,0.005043749044869923,178.0
PlantXViT-style reproduction,Tomato___Spider_mites Two-spotted_spider_mite,0.9733267719553212,0.004837135568013944,168.0
PlantXViT-style reproduction,Tomato___Target_Spot,0.970309362210529,0.009146880350645628,140.0
PlantXViT-style reproduction,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9884923242035953,0.004667299348698752,535.0
PlantXViT-style reproduction,Tomato___Tomato_mosaic_virus,0.9933829203815904,0.002843949899953826,100.0
PlantXViT-style reproduction,Tomato___healthy,0.9947290660064688,0.0018328214032095364,159.0
